"selection1_Area","selection1_location_name","selection1_location_address","selection1_location_timeperiod"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Matsumae Park","Matsushiro, Matsumae-cho, Hokkaido (MAP)","Early to mid May"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Goryokaku Park","44 Goryokaku-cho, Hakodate-shi, Hokkaido (MAP)","Early May"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Hirosaki Park","1 Shimoshirogane-cho, Hirosaki-shi, Aomori (MAP)","Late April to early May"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Prefectural Natural Park group Ashino Pond","Goshogawara-shi Aomori, Hirosaki-shi Aomori (MAP)","Late April to early May"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Tateno Park","Inuotose, Rokunohe-machi Kamikita-gun, Aomori, (MAP)","Late April to early May"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Iwate Park/Takamatsu Park","1-26-1, Takamatsu, Morioka-shi, Iwate (MAP)","Late April"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Kitakami Tenshochi","Tachibana, Kitakami-shi, Iwate, (MAP)","Late April"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Shiroishi Castle","1-16 Masuoka-cho, Shiroishi-shi, Miyagi (MAP)","Mid to late April"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Tsuruoka Park","Babacho, Tsuruoka-shi, Yamagata (MAP)","mid-April"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Eboshi Hill Park","Akayu, Nanyo-shi, Yamagata (MAP)","Late April"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Tsurugajo Park","1-1 Outemachi, Aizuwakamatsu city, Fukushima (MAP)","Mid to late April"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Kasumigajo Park","3-232 Kakunai, Nihonmatsu city, Fukushima (MAP)","Mid April to early May"
"HOKKAIDO/TOHOKU Cherry Blossom Spots","Yonomori Park","Mishima Machi, haramati-ku, machiminamisouma-shi, Fukushima (MAP)","Mid to late April"
"KANTO Cherry Blossom Spots","Kamine Park/ Heiwa street","Hitachi-shi Ibaraki (MAP)","Early to mid April"
"KANTO Cherry Blossom Spots","Fukuokaseki","kitayama Tsukubamirai-shi, Ibaraki (MAP)","mid-April"
"KANTO Cherry Blossom Spots","Akagi South side Senbon-zakura","2511-2, Naegashimamachi, Maebashi-shi, Gumma (MAP)","Early to mid April"
"KANTO Cherry Blossom Spots","Sakurayama Park","2166-1 Sanbagawa, Fujioka-shi, Gunma (MAP)","Mid November to mid December"
"KANTO Cherry Blossom Spots","Sakuranosato","1258 Kamiosaka Kanra-gun shimonitamachi Gunma (MAP)","Mid April to early May"
"KANTO Cherry Blossom Spots","Omiya Park","2, Takahanacho, Omiya-ku Saitama-shi, Saitama (MAP)","mid-April"
"KANTO Cherry Blossom Spots","Shimizu Park","Shimizu 906, Noda-shi, Chiba (MAP)","Early to mid April"
"KANTO Cherry Blossom Spots","Mobara Park","1345-1 Takashi, Mobara 297-0029, Chiba Prefecture (MAP)","Early to mid April"
"KANTO Cherry Blossom Spots","Kobayashi Ranch","2886-1 Kobayashi Inzai-shi Chiba (MAP)","Early to mid April"
"KANTO Cherry Blossom Spots","Ueno Onsi Park","5-20, Uenokoen, Taito-ku, Tokyo (MAP)","Late March to early April"
"KANTO Cherry Blossom Spots","Chidorigafuchi Walkway","1-1,kitanomarupark,Chiyoda-ku, Tokyo (MAP)","Early April"
"KANTO Cherry Blossom Spots","Odawara Castle Park/ Joyama Park","6, Jonai, Odawara-shi, Kanagawa (MAP)","Late March to early April"
"KANTO Cherry Blossom Spots","Prefectural Mitsuike Park","1-1 Mitsuike Park, turumi-ku Yokohama-shi, Kanagawa (MAP)","Early April"
"CHUBU Cherry Blossom Spots","Takada Park","44-1 motoshiromachi joetsu-shi, Niigata (MAP)","mid-April"
"CHUBU Cherry Blossom Spots","Matsukawa Park","1, honmaru, Toyama-shi, Toyama (MAP)","mid-April"
"CHUBU Cherry Blossom Spots","Takaoka Castle Park","1-9 Kojo Takaoka-shi Toyama (MAP)","mid-April"
"CHUBU Cherry Blossom Spots","Kenrokuen Garden","Kenrokumachi Kanazawa-shi Ishikawa (MAP)","Mid to late April"
"CHUBU Cherry Blossom Spots","Noto Sakura Station","Sobuku Anamizu-machi, Hosu-gun Ishikawa (MAP)","Mid to late April"
"CHUBU Cherry Blossom Spots","Asukawa Cherry Blossom View / Asuzan Park","Yaraku-cho Fukui-shi Fukui (MAP)","mid-April"
"CHUBU Cherry Blossom Spots","Kasumigajo Park","1-59, Maruokacho Imaichi, Sakai-shi, Fukui (MAP)","Early to mid April"
"CHUBU Cherry Blossom Spots","Komoro Castle Ruins(Kaiko-en Garden)","311, Tei, Komoro-shi, Nagano (MAP)","Mid to late April"
"CHUBU Cherry Blossom Spots","Takato Castle Ruins Park","Takatomachi Higashitakato, Ina-shi, Nagano (MAP)","Mid to late April"
"CHUBU Cherry Blossom Spots","Wolong Park","2-4-8, Garyu, Suzaka-shi, Nagano (MAP)","Mid to late April"
"CHUBU Cherry Blossom Spots","Ueda Castle Ruins Park","Ninomaru, Ueda-shi, Nagano (MAP)","mid-April"
"CHUBU Cherry Blossom Spots","Onishi Park","4340 Okawara, Oshika-mura Shimoina-gun, Nagano (MAP)","Mid to late April"
"CHUBU Cherry Blossom Spots","Neodani/Usuzumi Park","Neo Imamura, Motosu-shi, Gifu (MAP)","mid-April"
"CHUBU Cherry Blossom Spots","Sakuranosato","Ito-shi Shizuoka (MAP)","Mid March to mid April"
"CHUBU Cherry Blossom Spots","Okazaki Park","561, Koseicho, Okazaki-shi, Aichi (MAP)","Early April"
"CHUBU Cherry Blossom Spots","Gojougawa Riverside","horiosek,oguchi-cho, iniwa-gun, Aichi (MAP)","Late March to early April"
"CHUBU Cherry Blossom Spots","Cherry blossoms of the Kiso River Tsutsumi","asaityou, itinomiya-shi, Aichi (MAP)","Late March to early April"
"CHUBU Cherry Blossom Spots","Kimigano damu Park/Mitake","Tsu-shi Mie (MAP)","Early April to late April"
"CHUBU Cherry Blossom Spots","Cherry blossoms of Miyagawa","miyagawa isesi-shi, Mie (MAP)","Late March to early April"
"CHUBU Cherry Blossom Spots","Tsukairaku Park","147-1, Komeicho, Tsu-shi, Mie (MAP)","mid-April"
"KINKI Cherry Blossom Spots","Kaizu Osaki","Kaizu, Makino-cho, Takashima City, Shiga (MAP)","Early to mid April"
"KINKI Cherry Blossom Spots","Ho Park","1325, Koencho, Nagahama-shi, Shiga (MAP)","Early to mid April"
"KINKI Cherry Blossom Spots","Hikone castle","1-1 Konki-cho, Hikone-shi, Shiga (MAP)","Early to mid April"
